name,price
Acer Aspire E1-410 Celeron N2820,1300000
Asus X402C Celeron 1007U,1400000
Asus X453S Celeron N2840,1250000
Asus X441S Celeron N3060,1399000
Dell Inspiron 1440 Dual Core,1399000
Acer Aspire 4736 Core 2 Duo,999000
Lenovo ThinkPad T470s Core i5 Touchscreen,2550000
Lenovo ThinkPad T460 Core i7 Touchscreen,2590000
Lenovo ThinkPad T14 Gen 2 Core i7 Gen 11,6039632
Compaq Presario CQ45 NVIDIA,999000
Asus X45U AMD E2-1800,1149000
Acer Aspire 14 Celeron N3060,1750000
Lenovo ThinkPad Edge E40,1490000
Dell Latitude 7290/7280/7270/7250/7390 Core i5/i7,1950000
HP X360 11 EE Touchscreen,1990000
Laptop Core i5 Gaming,2300000
Dell Latitude E7440 Core i5,1790000
HP EliteBook 8440p / ProBook 6450b / 6440b Core i5,1350000
Lenovo G40-30 Celeron N2840,1199000
Acer Aspire ES1-420 AMD E1-2500,1449000
Toshiba Satellite L840 Core i5-3210M,1699000
Dell Latitude E7440 Core i5 Gen 4,1800000
Samsung 300E Celeron 847,1100000
Lenovo G470 Core i5 Radeon,1850000
Lenovo ThinkPad X280 / T480 Core i5,2600000
Dell Latitude E7450 Touchscreen,2890000
Dell Latitude E6220,1690000
